Kode;PM2.5;Traffic ;Wind Speed ;Humidity ;Temperature ;Precipitation ;NDVI 
1;164.5;5966.986301;4;60;29;0;0.082027808
1;247.5;5966.986301;2;65;28;0.2;0.082027808
1;282;5966.986301;3;70;27.5;0.05;0.082027808
1;186.5;5966.986301;2.5;70;28;0;0.082027808
1;230;5966.986301;2.5;70;23.5;6.3;0.082027808
1;261;5966.986301;2.5;70;26;0.25;0.082027808
1;281;5966.986301;5;70;26;0.25;0.082027808
1;307.5;5966.986301;3;65;26.5;0;0.082027808
1;134.5;5966.986301;2.5;75;28.5;0;0.082027808
1;127.5;5208.153846;4;75;27.5;0;0.082027808
1;144.5;5208.153846;2;75;28.5;0.15;0.082027808
1;392;5208.153846;1.5;65;27.5;0.2;0.082027808
1;366;5208.153846;3.5;70;28;0;0.082027808
1;388;5208.153846;1.5;70;27;0;0.082027808
1;181.5;5208.153846;1.5;70;28;0;0.082027808
1;243.5;5208.153846;1.5;75;28.5;0;0.082027808
1;287;5610;3;75;28;0;0.082027808
1;467;5610;3;65;28.5;0.25;0.082027808
1;347.5;5610;2.5;70;27.5;0.15;0.082027808
1;79.5;5610;3.5;75;27;0.25;0.082027808
1;142;5610;7;75;28.5;0;0.082027808
1;252;5610;2.5;75;28;0;0.082027808
1;275.5;5610;6;75;27.5;0.1;0.082027808
1;96;6521.228571;6;60;28.5;0;0.082027808
1;95;6521.228571;8.5;70;29;0;0.082027808
1;86;6521.228571;8.5;85;25;1.2;0.082027808
1;250;6521.228571;6;65;27.5;0;0.082027808
1;165;6521.228571;4;60;28;0;0.082027808
1;148;6521.228571;6;60;28.5;0;0.082027808
1;154;6521.228571;3.5;60;28.5;0;0.082027808
1;65;6521.228571;3.5;65;29;0;0.082027808
2;135;910.2702703;2.5;70;29;0;0.174883679
2;173;910.2702703;3.5;70;27;0.25;0.174883679
2;137.5;910.2702703;3.5;70;28;0.2;0.174883679
2;102;910.2702703;2.5;75;27.5;0;0.174883679
2;81.5;910.2702703;3;70;25;5.65;0.174883679
2;148;910.2702703;2.5;75;26.5;0.25;0.174883679
2;161;910.2702703;7;80;26.5;0.25;0.174883679
2;176;910.2702703;3.5;70;26.5;0;0.174883679
2;126.5;910.2702703;3;75;28;0;0.174883679
2;100.5;911.71875;4;80;27;0;0.174883679
2;152;911.71875;1.5;75;28;0.15;0.174883679
2;279;911.71875;2;70;27;0.15;0.174883679
2;224.5;911.71875;4;75;27.5;0.4;0.174883679
2;246.5;911.71875;2.5;70;27;0;0.174883679
2;118.5;911.71875;2;70;28;0;0.174883679
2;58.5;911.71875;2.5;75;27.5;0;0.174883679
2;126;875.3235294;3.5;75;28;0;0.174883679
2;402.5;875.3235294;1.5;70;27.5;0.3;0.174883679
2;157;875.3235294;2.5;70;27;0.15;0.174883679
2;70.5;875.3235294;3;80;27.5;0.3;0.174883679
2;71.5;875.3235294;7;75;27.5;0;0.174883679
2;127.5;875.3235294;2.5;75;28;0;0.174883679
2;172.5;875.3235294;6;85;27;0.1;0.174883679
2;95.5;897;6.5;70;28;0;0.174883679
2;88;897;9.5;80;28.5;0;0.174883679
2;44.5;897;9.5;85;25;0.9;0.174883679
2;133.5;897;5;70;27;0;0.174883679
2;66;897;4.5;60;28;0;0.174883679
2;72.5;897;5.5;60;28.5;0;0.174883679
2;93.5;897;4;60;28;0;0.174883679
2;45.5;897;4.5;65;28;0;0.174883679
3;156.5;13378.66667;4;60;29;1.55;0.108233603
3;230.5;13378.66667;2;70;28;0.65;0.108233603
3;231;13378.66667;3;70;28;4;0.108233603
3;156;13378.66667;2.5;70;27.5;3.8;0.108233603
3;189.5;13378.66667;2.5;70;24.5;1.3;0.108233603
3;234.5;13378.66667;2.5;70;26.5;3.8;0.108233603
3;253;13378.66667;6;75;26.5;0.5;0.108233603
3;266.5;13378.66667;3;70;26.5;1.05;0.108233603
3;139.5;13378.66667;3;75;28;4.6;0.108233603
3;116.5;9819.666667;4;75;28;3.65;0.108233603
3;157.5;9819.666667;2;75;28;2.7;0.108233603
3;371.5;9819.666667;1.5;65;27;1.35;0.108233603
3;340;9819.666667;4;70;28;4.05;0.108233603
3;367;9819.666667;2;70;27;1.3;0.108233603
3;166.5;9819.666667;2;70;28.5;2.85;0.108233603
3;186;9819.666667;1.5;75;28;1.05;0.108233603
3;243.5;9730.603175;3.5;75;28;1.2;0.108233603
3;479.5;9730.603175;2.5;70;28;2.1;0.108233603
3;298;9730.603175;2.5;70;27.5;3.4;0.108233603
3;76.5;9730.603175;3.5;80;27.5;2.7;0.108233603
3;124;9730.603175;7;75;28;0.6;0.108233603
3;223.5;9730.603175;2.5;75;28.5;2.35;0.108233603
3;257;9730.603175;6;80;27.5;3;0.108233603
3;100;10815.88889;6;65;29;0.5;0.108233603
3;96;10815.88889;9;70;28;0.45;0.108233603
3;76;10815.88889;9;85;25;0;0.108233603
3;221.5;10815.88889;6;70;28;0.05;0.108233603
3;139;10815.88889;4.5;60;28;0;0.108233603
3;129.5;10815.88889;6;60;28.5;0.35;0.108233603
3;141;10815.88889;4.5;60;28.5;0;0.108233603
3;61;10815.88889;3.5;65;28.5;0.2;0.108233603
4;155;314.6129032;4;60;29;0;0.078755146
4;260;314.6129032;2;65;28;0.2;0.078755146
4;255;314.6129032;3.5;70;28;0.15;0.078755146
4;190;314.6129032;3;70;27.5;0;0.078755146
4;252;314.6129032;2;70;24.5;2.55;0.078755146
4;264;314.6129032;2.5;70;26.5;0.3;0.078755146
4;303;314.6129032;6;75;26.5;0.25;0.078755146
4;317.5;314.6129032;4;65;26.5;0;0.078755146
4;153;314.6129032;2.5;75;28;0;0.078755146
4;136;336.8275862;3.5;75;28;0;0.078755146
4;167;336.8275862;2.5;75;28;0.1;0.078755146
4;417.5;336.8275862;2;65;27;0.15;0.078755146
4;396;336.8275862;4.5;70;28;0;0.078755146
4;406;336.8275862;1.5;70;27;0;0.078755146
4;193.5;336.8275862;2;70;28.5;0;0.078755146
4;250.5;336.8275862;2;75;28;0.05;0.078755146
4;289;346.7222222;4.5;75;28;0;0.078755146
4;485;346.7222222;2;65;28;0.35;0.078755146
4;340.5;346.7222222;2.5;70;27.5;0.1;0.078755146
4;86.5;346.7222222;3.5;80;27.5;0.2;0.078755146
4;156.5;346.7222222;7.5;75;28;0.05;0.078755146
4;275.5;346.7222222;2.5;75;28.5;0;0.078755146
4;277.5;346.7222222;6.5;75;27.5;0.2;0.078755146
4;87;346.7538462;6;65;29;0;0.078755146
4;87.5;346.7538462;9;70;28;0;0.078755146
4;86.5;346.7538462;9;85;25;1.4;0.078755146
4;236.5;346.7538462;7.8;70;28;0;0.078755146
4;179;346.7538462;7.4;60;28;0;0.078755146
4;151.5;346.7538462;7.2;60;28.5;0;0.078755146
4;147.5;346.7538462;8;60;28.5;0;0.078755146
4;69.5;346.7538462;5.6;65;29;0;0.078755146
5;191;3097.734375;4.5;60;28.5;0;0.102466591
5;233;3097.734375;2;65;27.5;0.2;0.102466591
5;336;3097.734375;3;65;27.5;0;0.102466591
5;198;3097.734375;2.5;70;27.5;0;0.102466591
5;221;3097.734375;3;70;24.5;7.05;0.102466591
5;249;3097.734375;3.5;70;26.5;0.15;0.102466591
5;263.5;3097.734375;5.5;75;26;0.1;0.102466591
5;325.5;3097.734375;2.5;65;26.5;0;0.102466591
5;120.5;3097.734375;2.5;75;28.5;0;0.102466591
5;122.5;2574.523077;3.5;75;27.5;0;0.102466591
5;127;2574.523077;2;70;28.5;0.25;0.102466591
5;347.5;2574.523077;2;65;27.5;0.15;0.102466591
5;318;2574.523077;3;75;28.5;0;0.102466591
5;365;2574.523077;2;70;26.5;0.05;0.102466591
5;195;2574.523077;2;70;28;0;0.102466591
5;245;2574.523077;2;70;28.5;0;0.102466591
5;296.5;2978.227273;2.5;75;28;0;0.102466591
5;436;2978.227273;4;65;28.5;0.15;0.102466591
5;353;2978.227273;2.5;70;27.5;0.2;0.102466591
5;77;2978.227273;3.5;75;27;0.25;0.102466591
5;132;2978.227273;7.5;70;28.5;0;0.102466591
5;229;2978.227273;3;75;28;0;0.102466591
5;233.5;2978.227273;7;75;27.5;0;0.102466591
5;95.5;2978.227273;6.5;60;28.5;0;0.102466591
5;101.5;2978.227273;9;70;29;0;0.102466591
5;87;2978.227273;10;85;25;1;0.102466591
5;249.5;2978.227273;6.5;65;28;0;0.102466591
5;166;2978.227273;4.5;60;28;0;0.102466591
5;130;2978.227273;5.5;60;28.5;0;0.102466591
5;148.5;2978.227273;3;60;28.5;0;0.102466591
5;66.5;2978.227273;3.5;65;29;0;0.102466591
6;137.5;1144.15;3;65;29;0;0.146951483
6;180;1144.15;3.5;70;27.5;0.2;0.146951483
6;179.5;1144.15;3.5;70;28;0;0.146951483
6;141.5;1144.15;2.5;75;27.5;0;0.146951483
6;109;1144.15;3;70;24;8.25;0.146951483
6;165.5;1144.15;2.5;75;26.5;0.2;0.146951483
6;167.5;1144.15;6.5;75;26.5;0.25;0.146951483
6;213.5;1144.15;2.5;70;26.5;0;0.146951483
6;133;1144.15;3;75;28.5;0;0.146951483
