Kode;PM2.5;Traffic ;Wind Speed ;Humidity ;Temperature ;Precipitation ;NDVI 
1;44;9208.743243;8;50;33;0;0.082027808
1;117;9208.743243;7;60;30;0.5;0.082027808
1;60;9208.743243;9;60;33;1.4;0.082027808
1;179;9208.743243;5;50;33;0.2;0.082027808
1;88;9208.743243;3;50;29;5.4;0.082027808
1;163;9208.743243;6;60;31;0;0.082027808
1;211;9208.743243;11;70;30;0.5;0.082027808
1;164;9208.743243;6;60;32;0;0.082027808
1;33;9208.743243;8;60;33;3;0.082027808
1;80;6606.564103;4;60;32;0.3;0.082027808
1;87;6606.564103;11;60;31;2;0.082027808
1;331;6606.564103;11;50;32;0.9;0.082027808
1;119;6606.564103;9;60;32;0.3;0.082027808
1;214;6606.564103;10;50;33;0.3;0.082027808
1;83;6606.564103;8;60;32;2.4;0.082027808
1;95;6606.564103;7;60;33;0.2;0.082027808
1;172;6824.054054;9;60;32;0;0.082027808
1;136;6824.054054;9;60;31;0.7;0.082027808
1;137;6824.054054;5;50;32;0.1;0.082027808
1;13;6824.054054;6;60;29;2.6;0.082027808
1;51;6824.054054;12;70;32;0.4;0.082027808
1;89;6824.054054;9;60;32;0;0.082027808
1;72;6824.054054;9;60;34;0.1;0.082027808
1;38;6888.649351;15;50;34;0.2;0.082027808
1;40;6888.649351;17;60;33;0.4;0.082027808
1;70;6888.649351;11;60;30;0.1;0.082027808
1;72;6888.649351;12;50;33;0;0.082027808
1;63;6888.649351;13;40;34;0;0.082027808
1;119;6888.649351;7;40;34;0;0.082027808
1;40;6888.649351;11;40;35;0;0.082027808
1;19;6888.649351;9;60;32;0;0.082027808
2;47;928.7045455;10;50;33;0;0.174883679
2;156;928.7045455;7;60;29;0.4;0.174883679
2;64;928.7045455;11;60;31;1.4;0.174883679
2;106;928.7045455;5;60;31;0.2;0.174883679
2;121;928.7045455;4;60;29;4.8;0.174883679
2;175;928.7045455;3;60;32;0;0.174883679
2;228;928.7045455;14;60;30;0.6;0.174883679
2;115;928.7045455;6;70;32;0;0.174883679
2;39;928.7045455;6;70;33;3.2;0.174883679
2;98;697.6;2;60;31;0.2;0.174883679
2;121;697.6;12;70;32;1.9;0.174883679
2;275;697.6;10;60;32;0.8;0.174883679
2;111;697.6;7;60;33;0.3;0.174883679
2;280;697.6;9;60;33;0.3;0.174883679
2;55;697.6;8;70;31;1.8;0.174883679
2;43;697.6;6;70;33;0.2;0.174883679
2;94;566.5238095;6;70;32;0;0.174883679
2;224;566.5238095;11;60;31;0.5;0.174883679
2;151;566.5238095;5;60;32;0.2;0.174883679
2;16;566.5238095;7;70;29;2.4;0.174883679
2;38;566.5238095;14;70;31;0.3;0.174883679
2;86;566.5238095;8;60;32;0;0.174883679
2;43;566.5238095;11;60;32;0.2;0.174883679
2;43;706;18;50;32;0.3;0.174883679
2;49;706;18;60;32;0.4;0.174883679
2;58;706;10;60;29;0.1;0.174883679
2;52;706;12;60;32;0;0.174883679
2;35;706;13;40;32;0;0.174883679
2;51;706;7;50;34;0;0.174883679
2;36;706;12;50;34;0;0.174883679
2;22;706;8;60;32;0;0.174883679
3;45;17465.74603;9;50;33;0;0.108233603
3;142;17465.74603;7;60;30;0.4;0.108233603
3;62;17465.74603;10;60;32;1.5;0.108233603
3;165;17465.74603;5;60;32;0.1;0.108233603
3;110;17465.74603;3;50;29;4.2;0.108233603
3;185;17465.74603;6;60;32;0;0.108233603
3;242;17465.74603;12;60;29;0.6;0.108233603
3;154;17465.74603;6;60;32;0;0.108233603
3;36;17465.74603;8;60;33;3.2;0.108233603
3;92;12691.14286;3;60;31;0.3;0.108233603
3;108;12691.14286;12;60;31;2;0.108233603
3;349;12691.14286;11;50;32;0.9;0.108233603
3;122;12691.14286;8;60;33;0.2;0.108233603
3;258;12691.14286;10;50;34;0.3;0.108233603
3;74;12691.14286;8;60;31;2.4;0.108233603
3;78;12691.14286;7;60;33;0.2;0.108233603
3;149;12556.79365;8;70;32;0;0.108233603
3;171;12556.79365;10;60;31;0.6;0.108233603
3;142;12556.79365;5;50;32;0.2;0.108233603
3;14;12556.79365;6;70;29;2.5;0.108233603
3;48;12556.79365;13;70;32;0.4;0.108233603
3;93;12556.79365;9;60;32;0;0.108233603
3;62;12556.79365;10;60;33;0.1;0.108233603
3;41;14140.88889;16;50;33;0.2;0.108233603
3;46;14140.88889;18;60;32;0.5;0.108233603
3;69;14140.88889;11;60;30;0.1;0.108233603
3;67;14140.88889;12;50;32;0;0.108233603
3;55;14140.88889;13;40;34;0;0.108233603
3;100;14140.88889;13;50;34;0;0.108233603
3;42;14140.88889;11;40;35;0;0.108233603
3;20;14140.88889;9;60;32;0;0.108233603
4;45;375.8985507;9;50;33;0;0.078755146
