Kode;PM2.5;Traffic ;Wind Speed ;Humidity ;Temperature ;Precipitation ;NDVI 
1;57;8875.901235;5;60;29;1.35;0.082027808
1;136;8875.901235;4.5;65;28.5;0.55;0.082027808
1;200.5;8875.901235;6;65;28;4;0.082027808
1;169;8875.901235;3.5;65;27.5;3.7;0.082027808
1;142.5;8875.901235;5;65;27.5;1.55;0.082027808
1;149.5;8875.901235;4.5;75;28;3.55;0.082027808
1;304.5;8875.901235;13;70;25.5;0.5;0.082027808
1;165.5;8875.901235;3;65;29;1.05;0.082027808
1;41.5;8875.901235;7;65;29;4.35;0.082027808
1;161.5;8074.666667;4.5;70;29;3.5;0.082027808
1;280;8074.666667;5;75;28.5;2.35;0.082027808
1;333.5;8074.666667;6.5;65;29.5;0.85;0.082027808
1;269.5;8074.666667;6;65;28.5;3.8;0.082027808
1;211.5;8074.666667;6.5;65;29;1.15;0.082027808
1;112.5;8074.666667;4;70;28;2.75;0.082027808
1;251;8074.666667;4.5;75;30;1;0.082027808
1;331;7933.027027;4.5;65;30;1.05;0.082027808
1;204;7933.027027;5;65;28.5;2.05;0.082027808
1;167;7933.027027;2.5;65;27.5;3.3;0.082027808
1;69;7933.027027;4.5;70;29;2.4;0.082027808
1;228;7933.027027;6;80;28;0.6;0.082027808
1;167;7933.027027;4.5;65;28.5;2.15;0.082027808
1;181;7933.027027;6.5;65;29;2.9;0.082027808
1;40;7928.973684;12.5;65;29;0.45;0.082027808
1;58;7928.973684;13.5;70;28;0.4;0.082027808
1;90.5;7928.973684;6.5;65;28.5;0;0.082027808
1;126;7928.973684;5.5;55;30.5;0.05;0.082027808
1;178.5;7928.973684;7;55;31.5;0;0.082027808
1;184;7928.973684;8;65;29.5;0.3;0.082027808
1;133;7928.973684;8.5;55;28.5;0;0.082027808
1;57;7928.973684;7;65;29.5;0.25;0.082027808
2;73;1192.880952;4.5;70;29;2.3;0.174883679
2;148;1192.880952;4.5;75;28.5;0.75;0.174883679
2;124.5;1192.880952;5;70;28;4.3;0.174883679
2;100;1192.880952;5;80;27.5;3.9;0.174883679
2;150.5;1192.880952;5;75;27.5;1.65;0.174883679
2;171.5;1192.880952;4;85;28;4.55;0.174883679
2;288;1192.880952;10.5;80;26;0.55;0.174883679
2;125.5;1192.880952;3.5;70;28.5;1.15;0.174883679
2;40;1192.880952;6.5;70;28.5;5.1;0.174883679
2;106;1015.378378;5.5;80;29;3.8;0.174883679
2;203;1015.378378;4;85;28;2.8;0.174883679
2;338;1015.378378;6;75;28.5;2.05;0.174883679
2;202;1015.378378;5.5;80;28;4.45;0.174883679
2;238;1015.378378;7.5;75;29;1.7;0.174883679
2;70;1015.378378;4;85;28.5;3.15;0.174883679
2;146.5;1015.378378;4.5;75;29;1.4;0.174883679
2;246;893.8205128;5.5;75;29.5;1.35;0.174883679
2;165;893.8205128;5;75;28.5;2.3;0.174883679
2;144.5;893.8205128;3;80;28;3.05;0.174883679
2;19.5;893.8205128;3.5;80;28.5;3.2;0.174883679
2;123;893.8205128;6;85;28;0.6;0.174883679
2;103.5;893.8205128;5.5;75;28.5;2.7;0.174883679
2;102;893.8205128;7.5;75;28.5;3.45;0.174883679
2;32.5;992.6666667;14.5;75;29;0.6;0.174883679
2;50;992.6666667;13;80;28.5;0.45;0.174883679
2;44.5;992.6666667;6.5;70;28.5;0;0.174883679
2;77;992.6666667;5.5;70;29.5;0;0.174883679
2;84.5;992.6666667;7;60;31.5;0;0.174883679
2;147;992.6666667;10;70;30;0.35;0.174883679
2;111.5;992.6666667;10.5;60;29.5;0;0.174883679
2;41.5;992.6666667;9.5;70;28.5;0.2;0.174883679
3;65.5;17720;5;65;29.5;1.55;0.108233603
3;147.5;17720;4.5;65;28.5;0.65;0.108233603
3;187.5;17720;5.5;65;27.5;4;0.108233603
3;184.5;17720;4;75;27.5;3.8;0.108233603
3;159;17720;5;65;27;1.3;0.108233603
3;170;17720;4.5;75;28;3.8;0.108233603
3;356;17720;12.5;75;26;0.5;0.108233603
3;158;17720;3;70;29;1.05;0.108233603
3;40.5;17720;6.5;70;29;4.6;0.108233603
3;150;13248.85714;4.5;75;28.5;3.65;0.108233603
3;271.5;13248.85714;5;80;28.5;2.7;0.108233603
3;363.5;13248.85714;6.5;65;29;1.35;0.108233603
3;271;13248.85714;5.5;75;28.5;4.05;0.108233603
3;241.5;13248.85714;6.5;70;29;1.3;0.108233603
