Kode;PM2.5;Traffic ;Wind Speed ;Humidity ;Temperature ;Precipitation ;NDVI 
Bundaran HI;164.5;5.966.986.301;4;60;29;0;0.082027808
Bundaran HI;247.5;5.966.986.301;2;65;28;0.2;0.082027808
Bundaran HI;282;5.966.986.301;3;70;27.5;0.05;0.082027808
Bundaran HI;186.5;5.966.986.301;2.5;70;28;0;0.082027808
Bundaran HI;230;5.966.986.301;2.5;70;23.5;6.3;0.082027808
Bundaran HI;261;5.966.986.301;2.5;70;26;0.25;0.082027808
Bundaran HI;281;5.966.986.301;5;70;26;0.25;0.082027808
Bundaran HI;307.5;5.966.986.301;3;65;26.5;0;0.082027808
Bundaran HI;134.5;5.966.986.301;2.5;75;28.5;0;0.082027808
Bundaran HI;127.5;5.208.153.846;4;75;27.5;0;0.082027808
Bundaran HI;144.5;5.208.153.846;2;75;28.5;0.15;0.082027808
Bundaran HI;392;5.208.153.846;1.5;65;27.5;0.2;0.082027808
Bundaran HI;366;5.208.153.846;3.5;70;28;0;0.082027808
Bundaran HI;388;5.208.153.846;1.5;70;27;0;0.082027808
Bundaran HI;181.5;5.208.153.846;1.5;70;28;0;0.082027808
Bundaran HI;243.5;5.208.153.846;1.5;75;28.5;0;0.082027808
Bundaran HI;287;5610;3;75;28;0;0.082027808
Bundaran HI;467;5610;3;65;28.5;0.25;0.082027808
Bundaran HI;347.5;5610;2.5;70;27.5;0.15;0.082027808
Bundaran HI;79.5;5610;3.5;75;27;0.25;0.082027808
Bundaran HI;142;5610;7;75;28.5;0;0.082027808
Bundaran HI;252;5610;2.5;75;28;0;0.082027808
Bundaran HI;275.5;5610;6;75;27.5;0.1;0.082027808
Bundaran HI;96;6.521.228.571;6;60;28.5;0;0.082027808
Bundaran HI;95;6.521.228.571;8.5;70;29;0;0.082027808
Bundaran HI;86;6.521.228.571;8.5;85;25;1.2;0.082027808
Bundaran HI;250;6.521.228.571;6;65;27.5;0;0.082027808
Bundaran HI;165;6.521.228.571;4;60;28;0;0.082027808
Bundaran HI;148;6.521.228.571;6;60;28.5;0;0.082027808
Bundaran HI;154;6.521.228.571;3.5;60;28.5;0;0.082027808
Bundaran HI;65;6.521.228.571;3.5;65;29;0;0.082027808
Bundaran HI;44;9.208.743.243;8;50;33;0;0.082027808
Bundaran HI;117;9.208.743.243;7;60;30;0.5;0.082027808
Bundaran HI;60;9.208.743.243;9;60;33;1.4;0.082027808
Bundaran HI;179;9.208.743.243;5;50;33;0.2;0.082027808
Bundaran HI;88;9.208.743.243;3;50;29;5.4;0.082027808
Bundaran HI;163;9.208.743.243;6;60;31;0;0.082027808
Bundaran HI;211;9.208.743.243;11;70;30;0.5;0.082027808
Bundaran HI;164;9.208.743.243;6;60;32;0;0.082027808
Bundaran HI;33;9.208.743.243;8;60;33;3;0.082027808
Bundaran HI;80;6.606.564.103;4;60;32;0.3;0.082027808
Bundaran HI;87;6.606.564.103;11;60;31;2;0.082027808
Bundaran HI;331;6.606.564.103;11;50;32;0.9;0.082027808
Bundaran HI;119;6.606.564.103;9;60;32;0.3;0.082027808
Bundaran HI;214;6.606.564.103;10;50;33;0.3;0.082027808
Bundaran HI;83;6.606.564.103;8;60;32;2.4;0.082027808
Bundaran HI;95;6.606.564.103;7;60;33;0.2;0.082027808
Bundaran HI;172;6.824.054.054;9;60;32;0;0.082027808
Bundaran HI;136;6.824.054.054;9;60;31;0.7;0.082027808
Bundaran HI;137;6.824.054.054;5;50;32;0.1;0.082027808
Bundaran HI;13;6.824.054.054;6;60;29;2.6;0.082027808
Bundaran HI;51;6.824.054.054;12;70;32;0.4;0.082027808
Bundaran HI;89;6.824.054.054;9;60;32;0;0.082027808
Bundaran HI;72;6.824.054.054;9;60;34;0.1;0.082027808
Bundaran HI;38;6.888.649.351;15;50;34;0.2;0.082027808
Bundaran HI;40;6.888.649.351;17;60;33;0.4;0.082027808
Bundaran HI;70;6.888.649.351;11;60;30;0.1;0.082027808
Bundaran HI;72;6.888.649.351;12;50;33;0;0.082027808
Bundaran HI;63;6.888.649.351;13;40;34;0;0.082027808
Bundaran HI;119;6.888.649.351;7;40;34;0;0.082027808
Bundaran HI;40;6.888.649.351;11;40;35;0;0.082027808
Bundaran HI;19;6.888.649.351;9;60;32;0;0.082027808
Bundaran HI;57;8.875.901.235;5;60;29;1.35;0.082027808
Bundaran HI;136;8.875.901.235;4.5;65;28.5;0.55;0.082027808
Bundaran HI;200.5;8.875.901.235;6;65;28;4;0.082027808
Bundaran HI;169;8.875.901.235;3.5;65;27.5;3.7;0.082027808
Bundaran HI;142.5;8.875.901.235;5;65;27.5;1.55;0.082027808
Bundaran HI;149.5;8.875.901.235;4.5;75;28;3.55;0.082027808
Bundaran HI;304.5;8.875.901.235;13;70;25.5;0.5;0.082027808
Bundaran HI;165.5;8.875.901.235;3;65;29;1.05;0.082027808
Bundaran HI;41.5;8.875.901.235;7;65;29;4.35;0.082027808
Bundaran HI;161.5;8.074.666.667;4.5;70;29;3.5;0.082027808
Bundaran HI;280;8.074.666.667;5;75;28.5;2.35;0.082027808
Bundaran HI;333.5;8.074.666.667;6.5;65;29.5;0.85;0.082027808
Bundaran HI;269.5;8.074.666.667;6;65;28.5;3.8;0.082027808
Bundaran HI;211.5;8.074.666.667;6.5;65;29;1.15;0.082027808
Bundaran HI;112.5;8.074.666.667;4;70;28;2.75;0.082027808
Bundaran HI;251;8.074.666.667;4.5;75;30;1;0.082027808
Bundaran HI;331;7.933.027.027;4.5;65;30;1.05;0.082027808
Bundaran HI;204;7.933.027.027;5;65;28.5;2.05;0.082027808
Bundaran HI;167;7.933.027.027;2.5;65;27.5;3.3;0.082027808
Bundaran HI;69;7.933.027.027;4.5;70;29;2.4;0.082027808
Bundaran HI;228;7.933.027.027;6;80;28;0.6;0.082027808
Bundaran HI;167;7.933.027.027;4.5;65;28.5;2.15;0.082027808
Bundaran HI;181;7.933.027.027;6.5;65;29;2.9;0.082027808
Bundaran HI;40;7.928.973.684;12.5;65;29;0.45;0.082027808
Bundaran HI;58;7.928.973.684;13.5;70;28;0.4;0.082027808
Bundaran HI;90.5;7.928.973.684;6.5;65;28.5;0;0.082027808
Bundaran HI;126;7.928.973.684;5.5;55;30.5;0.05;0.082027808
Bundaran HI;178.5;7.928.973.684;7;55;31.5;0;0.082027808
Bundaran HI;184;7.928.973.684;8;65;29.5;0.3;0.082027808
Bundaran HI;133;7.928.973.684;8.5;55;28.5;0;0.082027808
Bundaran HI;57;7.928.973.684;7;65;29.5;0.25;0.082027808
Jagakarsa;135;9.102.702.703;2.5;70;29;0;0.174883679
Jagakarsa;173;9.102.702.703;3.5;70;27;0.25;0.174883679
Jagakarsa;137.5;9.102.702.703;3.5;70;28;0.2;0.174883679
Jagakarsa;102;9.102.702.703;2.5;75;27.5;0;0.174883679
Jagakarsa;81.5;9.102.702.703;3;70;25;5.65;0.174883679
Jagakarsa;148;9.102.702.703;2.5;75;26.5;0.25;0.174883679
Jagakarsa;161;9.102.702.703;7;80;26.5;0.25;0.174883679
Jagakarsa;176;9.102.702.703;3.5;70;26.5;0;0.174883679
Jagakarsa;126.5;9.102.702.703;3;75;28;0;0.174883679
Jagakarsa;100.5;91.171.875;4;80;27;0;0.174883679
Jagakarsa;152;91.171.875;1.5;75;28;0.15;0.174883679
Jagakarsa;279;91.171.875;2;70;27;0.15;0.174883679
Jagakarsa;224.5;91.171.875;4;75;27.5;0.4;0.174883679
Jagakarsa;246.5;91.171.875;2.5;70;27;0;0.174883679
Jagakarsa;118.5;91.171.875;2;70;28;0;0.174883679
Jagakarsa;58.5;91.171.875;2.5;75;27.5;0;0.174883679
Jagakarsa;126;8.753.235.294;3.5;75;28;0;0.174883679
Jagakarsa;402.5;8.753.235.294;1.5;70;27.5;0.3;0.174883679
Jagakarsa;157;8.753.235.294;2.5;70;27;0.15;0.174883679
Jagakarsa;70.5;8.753.235.294;3;80;27.5;0.3;0.174883679
Jagakarsa;71.5;8.753.235.294;7;75;27.5;0;0.174883679
Jagakarsa;127.5;8.753.235.294;2.5;75;28;0;0.174883679
Jagakarsa;172.5;8.753.235.294;6;85;27;0.1;0.174883679
Jagakarsa;95.5;897;6.5;70;28;0;0.174883679
Jagakarsa;88;897;9.5;80;28.5;0;0.174883679
Jagakarsa;44.5;897;9.5;85;25;0.9;0.174883679
Jagakarsa;133.5;897;5;70;27;0;0.174883679
Jagakarsa;66;897;4.5;60;28;0;0.174883679
Jagakarsa;72.5;897;5.5;60;28.5;0;0.174883679
Jagakarsa;93.5;897;4;60;28;0;0.174883679
Jagakarsa;45.5;897;4.5;65;28;0;0.174883679
Jagakarsa;47;9.287.045.455;10;50;33;0;0.174883679
Jagakarsa;156;9.287.045.455;7;60;29;0.4;0.174883679
Jagakarsa;64;9.287.045.455;11;60;31;1.4;0.174883679
Jagakarsa;106;9.287.045.455;5;60;31;0.2;0.174883679
Jagakarsa;121;9.287.045.455;4;60;29;4.8;0.174883679
Jagakarsa;175;9.287.045.455;3;60;32;0;0.174883679
Jagakarsa;228;9.287.045.455;14;60;30;0.6;0.174883679
Jagakarsa;115;9.287.045.455;6;70;32;0;0.174883679
Jagakarsa;39;9.287.045.455;6;70;33;3.2;0.174883679
Jagakarsa;98;697.6;2;60;31;0.2;0.174883679
Jagakarsa;121;697.6;12;70;32;1.9;0.174883679
Jagakarsa;275;697.6;10;60;32;0.8;0.174883679
Jagakarsa;111;697.6;7;60;33;0.3;0.174883679
Jagakarsa;280;697.6;9;60;33;0.3;0.174883679
Jagakarsa;55;697.6;8;70;31;1.8;0.174883679
Jagakarsa;43;697.6;6;70;33;0.2;0.174883679
Jagakarsa;94;5.665.238.095;6;70;32;0;0.174883679
Jagakarsa;224;5.665.238.095;11;60;31;0.5;0.174883679
Jagakarsa;151;5.665.238.095;5;60;32;0.2;0.174883679
Jagakarsa;16;5.665.238.095;7;70;29;2.4;0.174883679
Jagakarsa;38;5.665.238.095;14;70;31;0.3;0.174883679
Jagakarsa;86;5.665.238.095;8;60;32;0;0.174883679
Jagakarsa;43;5.665.238.095;11;60;32;0.2;0.174883679
Jagakarsa;43;706;18;50;32;0.3;0.174883679
Jagakarsa;49;706;18;60;32;0.4;0.174883679
Jagakarsa;58;706;10;60;29;0.1;0.174883679
Jagakarsa;52;706;12;60;32;0;0.174883679
Jagakarsa;35;706;13;40;32;0;0.174883679
Jagakarsa;51;706;7;50;34;0;0.174883679
Jagakarsa;36;706;12;50;34;0;0.174883679
Jagakarsa;22;706;8;60;32;0;0.174883679
Jagakarsa;73;1.192.880.952;4.5;70;29;2.3;0.174883679
Jagakarsa;148;1.192.880.952;4.5;75;28.5;0.75;0.174883679
Jagakarsa;124.5;1.192.880.952;5;70;28;4.3;0.174883679
Jagakarsa;100;1.192.880.952;5;80;27.5;3.9;0.174883679
Jagakarsa;150.5;1.192.880.952;5;75;27.5;1.65;0.174883679
Jagakarsa;171.5;1.192.880.952;4;85;28;4.55;0.174883679
Jagakarsa;288;1.192.880.952;10.5;80;26;0.55;0.174883679
Jagakarsa;125.5;1.192.880.952;3.5;70;28.5;1.15;0.174883679
Jagakarsa;40;1.192.880.952;6.5;70;28.5;5.1;0.174883679
Jagakarsa;106;1.015.378.378;5.5;80;29;3.8;0.174883679
Jagakarsa;203;1.015.378.378;4;85;28;2.8;0.174883679
Jagakarsa;338;1.015.378.378;6;75;28.5;2.05;0.174883679
Jagakarsa;202;1.015.378.378;5.5;80;28;4.45;0.174883679
Jagakarsa;238;1.015.378.378;7.5;75;29;1.7;0.174883679
Jagakarsa;70;1.015.378.378;4;85;28.5;3.15;0.174883679
Jagakarsa;146.5;1.015.378.378;4.5;75;29;1.4;0.174883679
Jagakarsa;246;8.938.205.128;5.5;75;29.5;1.35;0.174883679
Jagakarsa;165;8.938.205.128;5;75;28.5;2.3;0.174883679
Jagakarsa;144.5;8.938.205.128;3;80;28;3.05;0.174883679
Jagakarsa;19.5;8.938.205.128;3.5;80;28.5;3.2;0.174883679
Jagakarsa;123;8.938.205.128;6;85;28;0.6;0.174883679
Jagakarsa;103.5;8.938.205.128;5.5;75;28.5;2.7;0.174883679
Jagakarsa;102;8.938.205.128;7.5;75;28.5;3.45;0.174883679
Jagakarsa;32.5;9.926.666.667;14.5;75;29;0.6;0.174883679
Jagakarsa;50;9.926.666.667;13;80;28.5;0.45;0.174883679
Jagakarsa;44.5;9.926.666.667;6.5;70;28.5;0;0.174883679
Jagakarsa;77;9.926.666.667;5.5;70;29.5;0;0.174883679
Jagakarsa;84.5;9.926.666.667;7;60;31.5;0;0.174883679
Jagakarsa;147;9.926.666.667;10;70;30;0.35;0.174883679
Jagakarsa;111.5;9.926.666.667;10.5;60;29.5;0;0.174883679
Jagakarsa;41.5;9.926.666.667;9.5;70;28.5;0.2;0.174883679
GBK;156.5;1.337.866.667;4;60;29;1.55;0.108233603
GBK;230.5;1.337.866.667;2;70;28;0.65;0.108233603
GBK;231;1.337.866.667;3;70;28;4;0.108233603
GBK;156;1.337.866.667;2.5;70;27.5;3.8;0.108233603
GBK;189.5;1.337.866.667;2.5;70;24.5;1.3;0.108233603
GBK;234.5;1.337.866.667;2.5;70;26.5;3.8;0.108233603
GBK;253;1.337.866.667;6;75;26.5;0.5;0.108233603
GBK;266.5;1.337.866.667;3;70;26.5;1.05;0.108233603
GBK;139.5;1.337.866.667;3;75;28;4.6;0.108233603
GBK;116.5;9.819.666.667;4;75;28;3.65;0.108233603
GBK;157.5;9.819.666.667;2;75;28;2.7;0.108233603
GBK;371.5;9.819.666.667;1.5;65;27;1.35;0.108233603
GBK;340;9.819.666.667;4;70;28;4.05;0.108233603
GBK;367;9.819.666.667;2;70;27;1.3;0.108233603
GBK;166.5;9.819.666.667;2;70;28.5;2.85;0.108233603
GBK;186;9.819.666.667;1.5;75;28;1.05;0.108233603
GBK;243.5;9.730.603.175;3.5;75;28;1.2;0.108233603
GBK;479.5;9.730.603.175;2.5;70;28;2.1;0.108233603
GBK;298;9.730.603.175;2.5;70;27.5;3.4;0.108233603
GBK;76.5;9.730.603.175;3.5;80;27.5;2.7;0.108233603
GBK;124;9.730.603.175;7;75;28;0.6;0.108233603
GBK;223.5;9.730.603.175;2.5;75;28.5;2.35;0.108233603
GBK;257;9.730.603.175;6;80;27.5;3;0.108233603
GBK;100;1.081.588.889;6;65;29;0.5;0.108233603
GBK;96;1.081.588.889;9;70;28;0.45;0.108233603
GBK;76;1.081.588.889;9;85;25;0;0.108233603
GBK;221.5;1.081.588.889;6;70;28;0.05;0.108233603
GBK;139;1.081.588.889;4.5;60;28;0;0.108233603
GBK;129.5;1.081.588.889;6;60;28.5;0.35;0.108233603
GBK;141;1.081.588.889;4.5;60;28.5;0;0.108233603
GBK;61;1.081.588.889;3.5;65;28.5;0.2;0.108233603
GBK;45;1.746.574.603;9;50;33;0;0.108233603
GBK;142;1.746.574.603;7;60;30;0.4;0.108233603
GBK;62;1.746.574.603;10;60;32;1.5;0.108233603
GBK;165;1.746.574.603;5;60;32;0.1;0.108233603
GBK;110;1.746.574.603;3;50;29;4.2;0.108233603
GBK;185;1.746.574.603;6;60;32;0;0.108233603
GBK;242;1.746.574.603;12;60;29;0.6;0.108233603
GBK;154;1.746.574.603;6;60;32;0;0.108233603
GBK;36;1.746.574.603;8;60;33;3.2;0.108233603
GBK;92;1.269.114.286;3;60;31;0.3;0.108233603
GBK;108;1.269.114.286;12;60;31;2;0.108233603
GBK;349;1.269.114.286;11;50;32;0.9;0.108233603
GBK;122;1.269.114.286;8;60;33;0.2;0.108233603
GBK;258;1.269.114.286;10;50;34;0.3;0.108233603
GBK;74;1.269.114.286;8;60;31;2.4;0.108233603
GBK;78;1.269.114.286;7;60;33;0.2;0.108233603
GBK;149;1.255.679.365;8;70;32;0;0.108233603
GBK;171;1.255.679.365;10;60;31;0.6;0.108233603
GBK;142;1.255.679.365;5;50;32;0.2;0.108233603
GBK;14;1.255.679.365;6;70;29;2.5;0.108233603
GBK;48;1.255.679.365;13;70;32;0.4;0.108233603
GBK;93;1.255.679.365;9;60;32;0;0.108233603
GBK;62;1.255.679.365;10;60;33;0.1;0.108233603
GBK;41;1.414.088.889;16;50;33;0.2;0.108233603
GBK;46;1.414.088.889;18;60;32;0.5;0.108233603
GBK;69;1.414.088.889;11;60;30;0.1;0.108233603
GBK;67;1.414.088.889;12;50;32;0;0.108233603
GBK;55;1.414.088.889;13;40;34;0;0.108233603
GBK;100;1.414.088.889;13;50;34;0;0.108233603
GBK;42;1.414.088.889;11;40;35;0;0.108233603
GBK;20;1.414.088.889;9;60;32;0;0.108233603
GBK;65.5;17720;5;65;29.5;1.55;0.108233603
GBK;147.5;17720;4.5;65;28.5;0.65;0.108233603
GBK;187.5;17720;5.5;65;27.5;4;0.108233603
GBK;184.5;17720;4;75;27.5;3.8;0.108233603
GBK;159;17720;5;65;27;1.3;0.108233603
GBK;170;17720;4.5;75;28;3.8;0.108233603
GBK;356;17720;12.5;75;26;0.5;0.108233603
GBK;158;17720;3;70;29;1.05;0.108233603
GBK;40.5;17720;6.5;70;29;4.6;0.108233603
GBK;150;1.324.885.714;4.5;75;28.5;3.65;0.108233603
GBK;271.5;1.324.885.714;5;80;28.5;2.7;0.108233603
GBK;363.5;1.324.885.714;6.5;65;29;1.35;0.108233603
GBK;271;1.324.885.714;5.5;75;28.5;4.05;0.108233603
GBK;241.5;1.324.885.714;6.5;70;29;1.3;0.108233603
GBK;104;1.324.885.714;4;75;28;2.85;0.108233603
GBK;230.5;1.324.885.714;4.5;75;29;1.05;0.108233603
GBK;326.5;1.331.422.222;5;75;29.5;1.2;0.108233603
GBK;196;1.331.422.222;5;70;28.5;2.1;0.108233603
GBK;166.5;1.331.422.222;3;75;28;3.4;0.108233603
GBK;55;1.331.422.222;4;75;29;2.7;0.108233603
GBK;211.5;1.331.422.222;6;80;28.5;0.6;0.108233603
GBK;153.5;1.331.422.222;5;70;28.5;2.35;0.108233603
GBK;164.5;1.331.422.222;7;60;29;3;0.108233603
GBK;37.5;1.590.993.651;13;65;29;0.5;0.108233603
GBK;57;1.590.993.651;13.5;75;28.5;0.45;0.108233603
GBK;80;1.590.993.651;6.5;70;28.5;0;0.108233603
GBK;115;1.590.993.651;5.5;65;30;0.05;0.108233603
GBK;156;1.590.993.651;7.5;55;31;0;0.108233603
GBK;182;1.590.993.651;9;65;29.5;0.35;0.108233603
GBK;137;1.590.993.651;9;55;29.5;0;0.108233603
GBK;55.5;1.590.993.651;7.5;65;29;0.2;0.108233603
Kebon Jeruk;155;3.146.129.032;4;60;29;0;0.078755146
Kebon Jeruk;260;3.146.129.032;2;65;28;0.2;0.078755146
Kebon Jeruk;255;3.146.129.032;3.5;70;28;0.15;0.078755146
